VehicleID,ActivityDateTimeEST,UniqueVIN ,Last_Event,Last_EventTime,Latitude_Last,Last_Longitude,Last_Vendor,Reactvation_Event,Reactivatiopn_EventTime,Reactvation_Latitude,Reactivation_Longitude,Reactivation vendor,Final_check,Inactivity(hours),Inactivity(days)
5FB92BBA-A02E-4C31-9AC0-498D77273535,2018-09-09,1GBJG312571164032,84,2018-09-09 16:29:08,40.7771145,-73.93178329999998,NYC DOE - ALL AMERICAN,84.0,2018-09-09 16:29:08,40.7771145,-73.93178329999998,NYC DOE - ALL AMERICAN,0,48.0025,2.0
64E1192F-2F0C-4D15-A00B-6EC58EFB97E9,2018-09-12,1GDHG31C081165234,106,2018-09-12 16:28:11,40.6837316,-73.9029643,NYC DOE - JOFAZ/THIRD AVE/Y&M,3.0,2018-09-12 08:55:22,40.62887429999999,-73.98597009999997,NYC DOE - JOFAZ/THIRD AVE/Y&M,0,62.73416666666667,3.0
6E30DE8B-8E39-47A4-B4A3-165ECA2CB6EC,2018-09-24,4DRBUAAN2BB309971,106,2018-09-24 12:30:58,40.6140895,-73.9031043,NYC DOE - NEW DAWN,3.0,2018-09-24 08:04:31,40.61346560000001,-73.9043688,NYC DOE - NEW DAWN,0,66.44722222222222,3.0
70D1DFDB-5383-4B6C-9FED-FA8CCC136479,2018-09-10,1GBHG31F011202503,106,2018-09-10 14:39:15,40.6890616,-73.84525759999998,NYC DOE - LOGAN FAMILY,3.0,2018-09-10 07:21:18,40.6887255,-73.8454788,NYC DOE - LOGAN FAMILY,0,119.8275,5.0
7A7291BE-CA31-465F-A934-3F65258AC663,2018-09-16,1GD3G2A69A1110527,84,2018-09-16 18:26:58,40.8159168,-73.8446695,NYC DOE - LOGAN FAMILY,84.0,2018-09-16 18:26:58,40.8159168,-73.8446695,NYC DOE - LOGAN FAMILY,0,48.334722222222226,2.0
7AD2D133-FE64-429F-8164-A4F4385CB935,2018-09-11,1GBHG31F421210749,84,2018-09-11 16:20:44,40.8210976,-73.84183,NYC DOE - BORO/CONSOLIDATED/SNT,84.0,2018-09-11 16:20:44,40.8210976,-73.84183,NYC DOE - BORO/CONSOLIDATED/SNT,0,96.0038888888889,4.0
7AD2D133-FE64-429F-8164-A4F4385CB935,2018-09-30,1GBHG31F421210749,84,2018-09-28 14:58:57,40.85874,-73.8217355,NYC DOE - BORO/CONSOLIDATED/SNT,,,,,,1,57.01722222222222,2.0
7C3007F8-523F-4023-B865-67A43F910CE1,2018-09-30,1GDHG316581232355,177,2018-09-26 13:41:05,40.8553936,-73.8148735,NYC DOE - LOGAN FAMILY,,,,,,1,106.315,4.0
7C3007F8-523F-4023-B865-67A43F910CE1,2018-09-20,1GDHG316581232355,177,2018-09-20 18:46:00,40.81588,-73.84466479999998,NYC DOE - LOGAN FAMILY,3.0,2018-09-20 16:34:50,40.815822,-73.84473829999997,NYC DOE - LOGAN FAMILY,0,52.07138888888889,2.0
7C3007F8-523F-4023-B865-67A43F910CE1,2018-09-24,1GDHG316581232355,106,2018-09-24 17:17:42,40.8159488,-73.84471409999998,NYC DOE - LOGAN FAMILY,3.0,2018-09-24 11:14:38,40.8157946,-73.8447315,NYC DOE - LOGAN FAMILY,0,88.47722222222222,4.0
